,location,size,total_sqft,bath,balcony,price,price_per_sqft,encoded_loc
3274,Sarjapura - Attibele Road,3,1676.0,3,3,52.0,3102.6252983293557,204
3275,Uttarahalli,2,1137.0,2,1,63.0,5540.8970976253295,225
3276,Electronic City,3,1360.0,2,1,70.5,5183.823529411765,77
3277,others,3,1374.0,2,2,70.0,5094.614264919942,240
3278,Judicial Layout,3,1700.0,3,2,155.0,9117.64705882353,118
3279,Whitefield,5,3227.0,5,0,250.0,7747.133560582584,234
3280,others,4,2145.0,4,0,125.0,5827.505827505827,240
3281,Kasavanhalli,3,2170.0,3,2,151.0,6958.52534562212,134
3282,others,2,1080.0,2,1,55.0,5092.592592592592,240
3283,Electronic City Phase II,3,1790.0,3,3,100.0,5586.592178770949,78
3284,Doddathoguru,1,550.0,1,1,17.0,3090.909090909091,73
3285,Poorna Pragna Layout,3,1270.0,2,2,50.79,3999.212598425197,189
3286,Somasundara Palya,2,1033.0,2,2,48.0,4646.660212971927,211
3287,others,2,1000.0,2,1,80.0,8000.0,240
3288,others,2,1240.0,2,2,52.6,4241.935483870968,240
3289,Kambipura,2,883.0,2,1,39.0,4416.761041902605,127
3290,others,3,1500.0,2,0,97.0,6466.666666666667,240
3291,Marathahalli,3,1730.0,3,3,139.0,8034.682080924856,165
3292,Kasavanhalli,3,1915.0,3,3,80.0,4177.545691906005,134
3293,Whitefield,3,1545.0,3,2,79.0,5113.26860841424,234
3294,others,3,1865.0,4,2,140.0,7506.702412868633,240
3295,Hebbal Kempapura,2,1150.0,2,2,40.0,3478.2608695652175,96
3296,others,2,1200.0,2,2,49.0,4083.3333333333335,240
3297,Kengeri,2,963.0,2,2,40.0,4153.686396677051,139
3298,Marsur,3,1200.0,3,1,120.0,10000.0,167
3299,Basavangudi,4,2600.0,4,3,260.0,10000.0,38
3300,Kaikondrahalli,4,1700.0,4,0,108.0,6352.941176470588,124
3301,Lingadheeranahalli,3,1682.0,3,1,120.0,7134.36385255648,158
3302,Yelahanka,3,1371.0,2,2,65.0,4741.064916119621,236
3303,Hennur Road,2,901.0,2,1,49.5,5493.895671476138,99
3304,Ambalipura,3,1730.0,3,1,120.0,6936.416184971098,13
3305,Konanakunte,4,1200.0,4,0,125.0,10416.666666666666,147
3306,EPIP Zone,3,1500.0,3,3,102.0,6800.0,76
3307,others,4,3500.0,4,2,245.0,7000.0,240
3308,others,2,1203.0,2,1,59.86,4975.893599334996,240
3309,Horamavu Banaswadi,2,1357.0,2,2,54.0,3979.3662490788506,102
3310,others,3,1600.0,3,2,76.0,4750.0,240
3311,Yelahanka New Town,1,350.0,1,1,13.5,3857.1428571428573,237
3312,Varthur,3,1665.0,3,1,53.0,3183.1831831831832,226
3313,Sarjapur  Road,1,835.0,1,1,46.95,5622.754491017964,203
3314,Haralur Road,3,1444.0,2,1,80.0,5540.16620498615,93
3315,Kanakapura,2,1277.0,2,2,55.0,4306.969459671104,130
3316,Lingadheeranahalli,3,1521.0,3,1,94.71,6226.824457593689,158
3317,others,2,1134.0,2,1,40.0,3527.336860670194,240
3318,Vasanthapura,2,995.0,2,1,34.82,3499.497487437186,228
3319,Marathahalli,2,1325.0,1,1,92.0,6943.396226415094,165
3320,Kothanur,6,4000.0,6,0,150.0,3750.0,150
3321,Marathahalli,3,1525.0,3,2,90.0,5901.639344262295,165
3322,others,3,1320.0,2,2,73.0,5530.30303030303,240
3323,Electronics City Phase 1,1,650.0,1,1,23.0,3538.4615384615386,79
3324,Old Airport Road,3,1858.0,2,1,167.0,8988.15931108719,182
3325,Electronic City,2,1150.0,2,1,38.0,3304.3478260869565,77
3326,Electronic City Phase II,2,769.0,2,1,40.0,5201.560468140442,78
3327,Electronic City,3,1571.0,3,2,105.0,6683.64099299809,77
3328,Hennur Road,3,1445.0,3,1,86.56,5990.311418685121,99
3329,Hosur Road,3,1590.0,2,2,135.0,8490.566037735849,107
3330,Bommasandra,2,902.0,2,2,49.0,5432.372505543237,51
3331,Sarjapur,3,2238.0,3,1,140.0,6255.585344057194,202
3332,Electronic City,2,1090.0,2,1,31.49,2888.9908256880735,77
3333,Yelahanka,3,1712.0,3,3,82.0,4789.719626168225,236
3334,Haralur Road,2,1088.0,2,1,68.0,6250.0,93
3335,Somasundara Palya,3,1575.0,3,3,63.1,4006.3492063492063,211
3336,others,6,2150.0,6,3,205.0,9534.883720930233,240
3337,Kundalahalli,3,1920.0,3,2,150.0,7812.5,154
3338,Margondanahalli,2,1000.0,2,0,57.0,5700.0,166
3339,others,2,1100.0,2,2,56.1,5100.0,240
3340,Electronic City,2,1089.0,2,2,45.0,4132.231404958678,77
3341,Horamavu Agara,2,1106.0,2,1,43.09,3896.021699819168,101
3342,Kengeri,2,927.0,2,2,37.0,3991.3700107874865,139
3343,Kanakpura Road,2,1339.0,2,2,58.0,4331.59073935773,131
3344,Thanisandra,1,923.0,1,1,45.69,4950.162513542795,218
3345,Sarjapur  Road,3,2900.0,3,2,285.0,9827.586206896553,203
3346,Lakshminarayana Pura,2,1175.0,2,2,75.0,6382.978723404255,157
3347,Thubarahalli,2,975.0,2,1,55.0,5641.025641025641,220
3348,Hebbal,3,2400.0,4,1,180.0,7500.0,95
3349,Subramanyapura,3,1330.0,3,2,72.0,5413.533834586467,214
3350,Thanisandra,2,1183.0,2,1,59.74,5049.873203719358,218
3351,Harlur,3,1758.0,3,2,133.0,7565.415244596132,94
3352,Hebbal,3,1255.0,2,1,77.68,6189.641434262949,95
3353,Pai Layout,2,1100.0,2,2,50.0,4545.454545454545,185
3354,Ramamurthy Nagar,2,1170.0,2,2,46.8,4000.0,197
3355,others,5,2400.0,5,2,120.0,5000.0,240
3356,Raja Rajeshwari Nagar,3,1530.0,3,3,51.77,3383.6601307189544,193
3357,Hebbal,2,1420.0,2,2,107.0,7535.211267605634,95
3358,Kanakpura Road,3,1591.0,3,1,115.0,7228.158390949088,131
3359,7th Phase JP Nagar,3,1680.0,3,2,120.0,7142.857142857143,7
3360,others,2,675.0,3,1,52.0,7703.7037037037035,240
3361,Hoodi,2,1055.0,2,1,57.63,5462.559241706161,100
3362,Iblur Village,3,1918.0,3,2,129.0,6725.7559958289885,111
3363,Sarjapur  Road,2,1280.0,2,1,76.0,5937.5,203
3364,Nagarbhavi,3,1560.0,3,3,66.0,4230.7692307692305,174
3365,Sarjapur  Road,2,1145.0,2,2,49.5,4323.144104803493,203
3366,Talaghattapura,3,2106.0,3,2,126.0,5982.9059829059825,217
3367,others,3,1801.0,3,2,139.0,7717.9344808439755,240
3368,Seegehalli,5,1200.0,5,3,120.0,10000.0,207
3369,Whitefield,3,1306.0,3,2,54.65,4184.532924961715,234
3370,Hebbal,2,1320.0,2,1,92.0,6969.69696969697,95
3371,others,3,1350.0,2,2,65.0,4814.814814814815,240
3372,others,4,2990.0,4,0,324.0,10836.120401337792,240
3373,Kalyan nagar,4,3800.0,5,3,300.0,7894.736842105263,126
3374,Bannerghatta Road,3,1344.0,2,1,42.0,3125.0,37
3375,Bannerghatta Road,3,1893.0,3,2,100.0,5282.620179609086,37
3376,Chandapura,3,1107.0,2,1,43.0,3884.3721770551037,58
3377,Lakshminarayana Pura,2,1190.0,2,1,75.0,6302.5210084033615,157
3378,Whitefield,2,1000.0,2,1,35.0,3500.0,234
3379,others,2,2400.0,2,1,160.0,6666.666666666667,240
3380,Kumaraswami Layout,2,1000.0,2,1,48.5,4850.0,153
3381,Jalahalli,3,2113.0,3,2,155.0,7335.541883577851,115
3382,KR Puram,2,1100.0,2,1,46.0,4181.818181818182,119
3383,Harlur,4,1884.0,4,2,120.0,6369.426751592357,94
3384,Electronic City,2,1110.0,2,1,40.0,3603.6036036036035,77
3385,Kudlu,2,1027.0,2,2,43.0,4186.952288218111,151
3386,others,3,1250.0,3,2,40.0,3200.0,240
3387,Sarjapur  Road,3,1470.0,3,0,62.0,4217.687074829932,203
3388,others,2,1150.0,2,1,75.0,6521.739130434783,240
3389,Kudlu Gate,1,703.0,1,1,52.0,7396.870554765292,152
3390,others,3,1400.0,2,2,62.0,4428.571428571428,240
3391,Bellandur,2,1195.0,2,2,51.0,4267.782426778243,43
3392,Narayanapura,2,1302.0,2,1,69.1,5307.219662058371,178
3393,Begur Road,3,1583.0,3,1,74.4,4699.936828806065,42
3394,others,3,1488.0,2,3,60.0,4032.2580645161293,240
3395,Kammasandra,3,1385.0,2,2,34.63,2500.361010830325,129
3396,Whitefield,4,3262.0,4,2,260.0,7970.570202329859,234
3397,Electronic City,3,1600.0,3,2,104.0,6500.0,77
3398,Old Airport Road,2,1150.0,2,1,90.0,7826.086956521739,182
3399,Sarjapur  Road,2,1263.0,2,1,78.0,6175.771971496437,203
3400,Kanakpura Road,2,1299.0,2,2,85.0,6543.4949961508855,131
3401,Banashankari,2,1330.0,2,1,78.0,5864.661654135339,29
3402,Devanahalli,3,1282.0,2,2,52.43,4089.703588143526,68
3403,others,3,1853.0,3,2,82.0,4425.256341068538,240
3404,others,2,861.0,2,1,35.0,4065.040650406504,240
3405,Bannerghatta Road,3,1600.0,3,2,95.0,5937.5,37
3406,others,2,1256.0,2,1,62.8,5000.0,240
3407,others,3,1390.0,2,2,80.0,5755.395683453237,240
3408,others,3,1550.0,2,0,90.0,5806.451612903225,240
3409,Hebbal,2,919.0,2,1,49.0,5331.882480957563,95
3410,Margondanahalli,3,1625.0,3,0,80.0,4923.076923076923,166
3411,Gunjur,2,1195.0,2,2,44.0,3682.0083682008367,88
3412,Yelenahalli,2,1159.0,2,1,60.0,5176.8766177739435,238
3413,Whitefield,3,1386.0,3,1,57.46,4145.743145743146,234
3414,Harlur,2,1197.0,2,1,79.0,6599.832915622389,94
3415,Old Airport Road,4,2690.0,4,3,191.0,7100.371747211896,182
3416,Jigani,4,4303.5,2,0,226.0,5251.539444638085,117
3417,Bommasandra,3,1295.0,2,1,50.28,3882.6254826254826,51
3418,others,3,1310.0,2,1,37.83,2887.7862595419847,240
3419,Whitefield,2,1132.0,2,1,79.28,7003.533568904593,234
3420,Hebbal,3,1645.0,3,2,135.0,8206.686930091186,95
3421,Whitefield,2,1200.0,2,1,45.84,3820.0,234
3422,Whitefield,4,3000.0,4,0,330.0,11000.0,234
3423,Marathahalli,3,1937.0,3,2,140.0,7227.671657201859,165
3424,Doddathoguru,2,1015.0,2,2,33.5,3300.4926108374384,73
3425,others,2,1080.0,2,2,39.0,3611.1111111111113,240
3426,Kathriguppe,3,1350.0,2,2,80.99,5999.259259259258,136
3427,Kengeri Satellite Town,3,1149.0,2,2,29.0,2523.933855526545,140
3428,Kothanur,2,1185.0,2,2,59.0,4978.9029535864975,150
3429,Domlur,3,1720.0,3,1,135.0,7848.837209302325,74
3430,Hebbal,3,2080.0,3,3,175.0,8413.461538461539,95
3431,Tindlu,3,1500.0,3,1,87.0,5800.0,222
3432,Yelahanka,3,1566.0,3,2,97.0,6194.125159642401,236
3433,others,4,1500.0,4,0,110.0,7333.333333333333,240
3434,KR Puram,2,1290.0,2,1,49.02,3800.0,119
3435,others,3,1531.0,3,2,72.0,4702.808621815807,240
3436,others,3,1839.0,3,3,165.0,8972.26753670473,240
3437,Electronic City Phase II,3,1400.0,2,2,40.43,2887.8571428571427,78
3438,Electronic City,2,550.0,1,1,15.0,2727.2727272727275,77
3439,Whitefield,2,1140.0,2,2,39.0,3421.0526315789475,234
3440,Tumkur Road,3,1343.5,3,0,57.76,4299.218459248233,223
3441,Banashankari Stage III,4,2000.0,4,0,100.0,5000.0,31
3442,Kaval Byrasandra,2,1100.0,2,1,46.0,4181.818181818182,137
3443,others,2,1200.0,2,2,55.0,4583.333333333333,240
3444,Bannerghatta,3,1618.0,3,1,68.0,4202.719406674907,36
3445,Whitefield,4,2830.0,5,2,160.0,5653.7102473498235,234
3446,Uttarahalli,3,1315.0,2,2,74.0,5627.376425855513,225
3447,Anandapura,2,1141.0,2,1,42.75,3746.7134092900965,16
3448,AECS Layout,2,1080.0,2,2,55.0,5092.592592592592,10
3449,HBR Layout,2,1200.0,2,2,60.0,5000.0,90
3450,Varthur,2,1111.0,2,2,41.88,3769.57695769577,226
3451,NGR Layout,2,1022.0,2,1,45.9,4491.19373776908,172
3452,Bannerghatta Road,2,1275.0,2,2,65.0,5098.0392156862745,37
3453,others,2,900.0,2,1,70.0,7777.777777777777,240
3454,Rachenahalli,2,1224.0,2,3,39.2,3202.614379084968,192
3455,Battarahalli,2,1135.0,2,3,43.0,3788.546255506608,40
3456,Rachenahalli,2,1050.0,2,2,52.1,4961.9047619047615,192
3457,Kudlu Gate,3,1535.0,3,2,86.0,5602.605863192182,152
3458,Nagavarapalya,2,1392.0,2,1,130.0,9339.080459770115,177
3459,Bellandur,2,1050.0,2,2,72.0,6857.142857142857,43
3460,Hosa Road,3,1513.0,3,1,103.0,6807.666886979511,104
3461,Gottigere,3,1621.0,3,3,72.0,4441.702652683529,85
3462,Bannerghatta Road,2,892.0,2,1,39.0,4372.197309417041,37
3463,Whitefield,2,1205.0,2,1,40.0,3319.5020746887967,234
3464,Hebbal,3,1355.0,3,2,83.87,6189.667896678967,95
3465,Kengeri,2,726.0,2,1,35.0,4820.936639118458,139
3466,others,3,1500.0,3,2,149.0,9933.333333333334,240
3467,Hebbal,4,3895.0,4,2,405.0,10397.946084724004,95
3468,Horamavu Agara,2,1079.0,2,2,41.0,3799.8146431881373,101
3469,Begur Road,2,1170.0,2,2,46.0,3931.6239316239316,42
3470,Doddathoguru,2,1104.0,2,2,39.0,3532.608695652174,73
3471,Kanakpura Road,2,950.0,2,1,45.0,4736.8421052631575,131
3472,Hormavu,4,4818.0,4,3,390.0,8094.64508094645,103
3473,others,3,1650.0,2,1,52.0,3151.5151515151515,240
3474,Kogilu,3,1559.0,3,2,127.0,8146.247594611931,146
3475,others,2,1100.0,2,1,38.0,3454.5454545454545,240
3476,Benson Town,3,1750.0,3,3,150.0,8571.42857142857,44
3477,Ramagondanahalli,2,1215.0,2,1,45.5,3744.855967078189,196
3478,Talaghattapura,3,1868.0,3,1,135.0,7226.980728051391,217
3479,Electronic City,2,1130.0,2,1,32.63,2887.610619469027,77
3480,Kanakpura Road,3,1570.0,3,3,64.5,4108.28025477707,131
3481,Sarjapur  Road,3,1691.0,3,1,98.0,5795.38734476641,203
3482,Ardendale,5,4355.0,3,1,350.0,8036.739380022962,20
3483,Hulimavu,2,1225.0,2,2,55.0,4489.7959183673465,108
3484,JP Nagar,3,1690.0,3,2,112.0,6627.218934911242,113
3485,Thigalarapalya,2,1418.0,2,2,103.0,7263.7517630465445,219
3486,Kasturi Nagar,4,1896.0,3,1,125.0,6592.827004219409,135
3487,Sonnenahalli,1,605.0,1,1,40.0,6611.570247933884,213
3488,Electronic City Phase II,2,900.0,2,2,32.5,3611.1111111111113,78
3489,others,1,750.0,2,0,50.0,6666.666666666667,240
3490,Hoodi,3,780.0,3,1,62.0,7948.717948717948,100
3491,Ananth Nagar,2,908.0,2,1,26.0,2863.4361233480176,17
3492,Thanisandra,4,3216.0,4,1,226.0,7027.363184079602,218
3493,BEML Layout,5,2400.0,4,1,225.0,9375.0,23
3494,Iblur Village,2,1400.0,2,2,68.0,4857.142857142857,111
3495,Kudlu,2,1092.0,2,2,44.0,4029.3040293040294,151
3496,Hulimavu,2,1255.0,2,2,74.0,5896.414342629482,108
3497,Electronic City,3,1500.0,2,1,100.0,6666.666666666667,77
3498,Thanisandra,2,1296.0,2,2,72.0,5555.555555555556,218
3499,Horamavu Banaswadi,2,925.0,2,3,38.0,4108.108108108108,102
3500,Raja Rajeshwari Nagar,2,1023.0,2,2,42.0,4105.571847507332,193
3501,Thanisandra,2,1020.0,2,1,44.5,4362.745098039216,218
3502,Choodasandra,3,1530.0,3,2,77.0,5032.679738562091,63
3503,Gubbalala,3,1650.0,3,2,71.0,4303.030303030303,87
3504,others,3,1605.0,2,3,85.0,5295.95015576324,240
3505,Hosakerehalli,2,1925.0,2,1,50.0,2597.4025974025976,105
3506,Kogilu,2,1190.0,2,2,50.66,4257.142857142857,146
3507,Jakkur,3,1374.0,3,2,68.0,4949.0538573508,114
3508,6th Phase JP Nagar,2,1140.0,2,2,65.0,5701.754385964912,6
3509,Green Glen Layout,3,1725.0,3,2,130.0,7536.231884057971,86
3510,Bisuvanahalli,3,1075.0,2,1,50.0,4651.162790697675,49
3511,Kannamangala,3,1574.0,3,1,93.34,5930.114358322745,132
3512,Sanjay nagar,1,965.0,1,1,32.0,3316.062176165803,200
3513,Marathahalli,3,1550.0,3,2,83.0,5354.8387096774195,165
3514,others,2,1205.0,2,2,60.0,4979.253112033195,240
3515,Kambipura,3,1082.0,2,1,55.0,5083.179297597043,127
3516,Uttarahalli,3,1215.0,2,2,52.85,4349.794238683127,225
3517,Hebbal,4,2483.0,5,2,230.0,9262.988320579943,95
3518,others,2,1200.0,3,1,46.14,3845.0,240
3519,others,1,1500.0,1,1,19.5,1300.0,240
3520,Ardendale,4,3198.0,4,0,250.0,7817.385866166354,20
3521,Kanakpura Road,3,1452.0,3,3,60.98,4199.724517906336,131
3522,Electronic City Phase II,3,1329.0,2,2,41.0,3085.0263355906695,78
3523,others,2,1125.0,2,1,44.0,3911.1111111111113,240
3524,others,2,1200.0,2,0,70.0,5833.333333333333,240
3525,Sarjapur  Road,3,1350.0,3,3,39.97,2960.740740740741,203
3526,Uttarahalli,3,1312.5,3,0,51.19,3900.190476190476,225
3527,Hebbal,3,2600.0,3,2,195.0,7500.0,95
3528,Electronic City Phase II,3,1220.0,3,1,35.23,2887.7049180327863,78
3529,Pai Layout,2,1255.0,2,1,80.0,6374.501992031873,185
3530,others,3,1904.0,3,3,155.0,8140.756302521008,240
3531,Somasundara Palya,2,1329.0,2,2,70.0,5267.11813393529,211
3532,Chandapura,2,1200.0,2,1,60.0,5000.0,58
3533,Murugeshpalya,3,2135.0,3,2,160.0,7494.145199063232,170
3534,others,3,2770.0,4,3,315.0,11371.841155234657,240
3535,others,1,813.0,1,1,39.0,4797.047970479704,240
3536,others,4,3884.0,4,3,240.0,6179.196704428425,240
3537,Doddaballapur,3,3876.0,3,1,300.0,7739.938080495356,71
3538,Kalena Agrahara,2,800.0,2,2,30.0,3750.0,125
3539,others,4,4750.0,2,1,120.0,2526.315789473684,240
3540,Hormavu,3,1500.0,3,3,70.0,4666.666666666667,103
3541,Bannerghatta Road,3,1880.0,3,2,95.0,5053.191489361702,37
3542,Electronic City,3,1440.0,2,2,55.0,3819.4444444444443,77
3543,Akshaya Nagar,3,1575.0,3,0,90.0,5714.285714285715,12
3544,others,3,1630.0,2,2,97.78,5998.773006134969,240
3545,Yelahanka,3,1180.0,3,1,55.0,4661.016949152542,236
3546,others,2,1090.0,2,1,36.0,3302.7522935779816,240
3547,NGR Layout,2,1020.0,2,2,48.45,4750.0,172
3548,others,4,2425.0,4,3,173.0,7134.020618556701,240
3549,Varthur,2,1097.0,2,1,33.82,3082.9535095715587,226
3550,Raja Rajeshwari Nagar,2,1070.0,2,1,50.0,4672.897196261682,193
3551,Kumaraswami Layout,2,1000.0,2,1,58.0,5800.0,153
3552,others,2,1150.0,2,1,56.0,4869.565217391304,240
3553,Frazer Town,3,1900.0,4,2,145.0,7631.578947368421,80
3554,others,2,1141.0,2,2,49.0,4294.478527607362,240
3555,Jigani,2,937.0,2,1,44.0,4695.837780149413,117
3556,Green Glen Layout,2,1075.0,2,1,60.0,5581.395348837209,86
3557,Panathur,2,1000.0,2,1,65.3,6530.0,186
3558,Kasavanhalli,3,1450.0,3,0,77.41,5338.620689655172,134
3559,Yelachenahalli,5,897.0,2,1,85.0,9476.03121516165,235
3560,others,2,936.0,2,2,43.0,4594.017094017094,240
3561,others,2,1280.0,2,1,75.0,5859.375,240
3562,Babusapalaya,2,1050.0,2,3,45.0,4285.714285714285,26
3563,Marathahalli,2,1350.0,2,1,86.0,6370.37037037037,165
3564,Mallasandra,2,1325.0,2,1,70.0,5283.018867924528,162
3565,Devanahalli,2,1174.0,2,1,59.0,5025.553662691653,68
3566,Hosur Road,3,1890.0,3,2,162.0,8571.42857142857,107
3567,others,1,735.0,1,1,75.0,10204.081632653062,240
3568,others,1,500.0,1,0,24.0,4800.0,240
3569,Gottigere,3,1304.0,3,3,80.0,6134.9693251533745,85
3570,Yelahanka,3,1653.0,3,2,120.0,7259.528130671506,236
3571,Bisuvanahalli,3,1075.0,2,1,52.0,4837.209302325581,49
3572,7th Phase JP Nagar,2,1212.0,3,1,42.0,3465.3465346534654,7
3573,others,2,1100.0,2,1,50.0,4545.454545454545,240
3574,Billekahalli,2,1140.0,2,2,50.0,4385.964912280701,47
3575,others,2,1200.0,2,1,100.0,8333.333333333334,240
3576,Kudlu Gate,3,1532.0,3,2,83.0,5417.754569190601,152
3577,Doddaballapur,3,2776.0,4,2,195.0,7024.495677233429,71
3578,Padmanabhanagar,3,1531.0,2,0,75.0,4898.758981058132,184
3579,Poorna Pragna Layout,3,1270.0,2,2,50.79,3999.212598425197,189
3580,Uttarahalli,2,1325.0,2,1,53.0,4000.0,225
3581,Electronic City,3,1156.0,2,2,44.0,3806.2283737024222,77
3582,Bannerghatta Road,2,1260.0,2,2,70.0,5555.555555555556,37
3583,Vittasandra,2,1934.0,2,0,90.0,4653.567735263702,233
3584,Malleshpalya,2,1060.0,2,1,40.0,3773.5849056603774,163
3585,Kasavanhalli,3,1476.0,3,1,95.0,6436.314363143631,134
3586,Murugeshpalya,2,1185.0,2,1,85.0,7172.995780590717,170
3587,others,3,1265.0,2,1,82.0,6482.213438735178,240
3588,others,4,3200.0,5,1,150.0,4687.5,240
3589,others,2,1196.0,2,2,56.81,4750.0,240
3590,EPIP Zone,2,1280.0,2,1,69.0,5390.625,76
3591,Marathahalli,4,800.0,4,2,86.0,10750.0,165
3592,Hulimavu,2,1175.0,2,0,45.0,3829.7872340425533,108
3593,others,3,1850.0,3,3,98.0,5297.2972972972975,240
3594,Whitefield,2,1195.0,2,1,70.0,5857.740585774059,234
3595,Ulsoor,3,2000.0,3,3,185.0,9250.0,224
3596,Hosur Road,2,1180.0,2,2,36.5,3093.2203389830506,107
3597,Jakkur,2,1050.0,2,1,49.87,4749.523809523809,114
3598,Electronic City,3,1400.0,2,1,40.44,2888.5714285714284,77
3599,others,4,2360.0,4,2,150.0,6355.932203389831,240
3600,others,2,1030.0,2,1,77.25,7500.0,240
3601,others,2,1512.0,1,2,65.01,4299.603174603175,240
3602,Subramanyapura,2,929.0,2,1,48.0,5166.846071044133,214
3603,Jigani,3,1252.0,3,3,61.0,4872.20447284345,117
3604,Green Glen Layout,3,1485.0,3,2,115.0,7744.107744107744,86
3605,Electronics City Phase 1,3,1124.0,2,2,55.0,4893.238434163701,79
3606,Indira Nagar,3,1407.0,3,1,120.0,8528.784648187633,112
3607,Hennur Road,3,1482.0,2,3,97.0,6545.209176788124,99
3608,Sector 7 HSR Layout,2,1163.0,2,1,98.86,8500.42992261393,206
3609,Jalahalli,3,1570.0,3,2,140.0,8917.197452229299,115
3610,Whitefield,3,3480.0,4,0,284.0,8160.919540229885,234
3611,Chandapura,1,520.0,1,1,14.04,2700.0,58
3612,others,3,2000.0,3,2,160.0,8000.0,240
3613,Prithvi Layout,2,1352.0,2,2,75.0,5547.337278106509,190
3614,Electronic City,2,1152.0,2,1,65.0,5642.361111111111,77
3615,others,3,1575.0,3,2,93.0,5904.761904761905,240
3616,Hegde Nagar,3,1965.0,4,2,125.0,6361.323155216285,97
3617,others,3,1300.0,2,2,70.0,5384.615384615385,240
3618,Marathahalli,2,957.0,2,1,47.0,4911.180773249739,165
3619,Hoskote,3,1740.0,3,3,60.0,3448.2758620689656,106
3620,Kanakpura Road,5,1080.0,6,3,65.0,6018.518518518518,131
3621,Neeladri Nagar,2,1060.0,2,0,35.0,3301.8867924528304,179
3622,others,2,975.0,2,2,50.0,5128.205128205128,240
3623,Ramamurthy Nagar,2,1150.0,2,2,51.0,4434.782608695652,197
3624,Whitefield,3,1738.0,2,3,79.0,4545.454545454545,234
3625,Bommanahalli,3,1250.0,3,2,55.0,4400.0,50
3626,Bannerghatta Road,3,1788.0,3,2,90.0,5033.557046979866,37
3627,Kanakapura,2,1151.0,2,1,59.0,5125.977410947003,130
3628,Uttarahalli,3,1300.0,2,2,60.0,4615.384615384615,225
3629,Garudachar Palya,2,1150.0,2,1,52.8,4591.304347826087,82
3630,others,2,1380.0,2,1,75.0,5434.782608695652,240
3631,Hebbal,3,1645.0,3,2,117.0,7112.462006079028,95
3632,Babusapalaya,2,1141.0,2,1,45.9,4022.787028921998,26
3633,7th Phase JP Nagar,2,1175.0,2,2,82.5,7021.276595744681,7
3634,Banashankari Stage V,3,1355.0,2,1,61.0,4501.845018450184,32
3635,Dasarahalli,2,1150.0,2,0,70.0,6086.95652173913,67
3636,others,5,5800.0,5,0,80.0,1379.3103448275863,240
3637,others,2,1000.0,2,2,45.0,4500.0,240
3638,Balagere,2,1007.0,2,1,65.0,6454.816285998014,28
3639,others,4,3000.0,5,2,100.0,3333.3333333333335,240
3640,Kothanur,3,1436.0,3,3,70.0,4874.651810584958,150
3641,Marathahalli,4,4000.0,4,3,220.0,5500.0,165
3642,Somasundara Palya,3,2372.0,3,0,140.0,5902.192242833053,211
3643,Rayasandra,2,1016.0,2,1,58.0,5708.6614173228345,198
3644,Dodda Nekkundi,2,1100.0,2,2,48.0,4363.636363636364,70
3645,others,2,1080.0,2,1,45.0,4166.666666666667,240
3646,Electronic City,2,1070.0,2,1,60.0,5607.476635514019,77
3647,Kadubeesanahalli,3,1532.0,3,1,115.0,7506.527415143603,120
3648,Hennur,2,1040.0,2,2,42.12,4050.0,98
3649,others,3,3100.0,3,3,250.0,8064.5161290322585,240
3650,Tumkur Road,2,1137.5,2,0,48.905,4299.340659340659,223
3651,Thanisandra,3,1430.0,2,2,51.6,3608.3916083916083,218
3652,ITPL,4,3262.0,5,2,205.0,6284.488044144697,110
3653,others,2,1190.0,2,2,100.0,8403.361344537816,240
3654,others,3,1827.0,3,3,100.0,5473.453749315819,240
3655,HRBR Layout,2,1210.0,2,1,75.0,6198.347107438017,91
3656,others,3,1500.0,3,3,95.0,6333.333333333333,240
3657,Rachenahalli,2,1050.0,2,2,53.5,5095.238095238095,192
3658,Hebbal,2,1251.0,2,1,88.73,7092.725819344524,95
3659,HSR Layout,3,1600.0,2,2,115.0,7187.5,92
3660,Electronic City,2,1128.0,2,1,65.5,5806.737588652482,77
3661,Budigere,3,1820.0,3,2,93.0,5109.89010989011,55
3662,Thigalarapalya,3,2072.0,4,2,159.0,7673.745173745174,219
3663,Raja Rajeshwari Nagar,3,1510.0,2,3,59.0,3907.2847682119204,193
3664,Hoodi,3,1925.0,2,3,114.0,5922.077922077922,100
3665,Hennur Road,3,2651.0,2,2,225.0,8487.36325914749,99
3666,Thigalarapalya,3,2072.0,4,2,147.0,7094.594594594595,219
3667,Kumaraswami Layout,2,1000.0,2,2,36.0,3600.0,153
3668,KR Puram,3,1752.0,3,2,145.0,8276.255707762557,119
3669,Sahakara Nagar,2,960.0,2,3,56.0,5833.333333333333,199
3670,others,2,1180.0,2,2,63.0,5338.983050847458,240
3671,Benson Town,3,2270.0,3,1,180.0,7929.515418502203,44
3672,NRI Layout,2,650.0,2,0,59.0,9076.923076923076,173
3673,Lakshminarayana Pura,2,1200.0,2,1,75.0,6250.0,157
3674,Bisuvanahalli,3,1180.0,2,1,46.0,3898.3050847457625,49
3675,others,3,1300.0,3,2,47.0,3615.3846153846152,240
3676,Bannerghatta Road,2,1157.0,2,0,40.0,3457.216940363008,37
3677,Kanakpura Road,3,1300.0,3,2,69.0,5307.692307692308,131
3678,Banashankari Stage III,3,1305.0,2,1,59.0,4521.072796934866,31
3679,Hegde Nagar,3,2006.0,4,2,196.0,9770.687936191425,97
3680,Jakkur,2,1290.0,2,1,80.0,6201.550387596899,114
